fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,alkalinity,e330.level,effervescence.index,consumable,quality
6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,47.6,0.26,4258.547587,4,1
7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,48.4,0.31,10555.65847,4,1
6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,47.3,0.26,1273.884995,4,0
6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,47.5,0.25,3609.243046,4,0
7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,48.7,0.26,10116.45896,4,1
6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,46.4,0.35,14070.91522,4,0
7.2,0.19,0.31,1.6,0.062,31,173,0.9917,3.35,0.44,11.7,46.5,0.31,3238.062832,4,1
6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,46.6,0.29,1539.871216,4,1
6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,46.8,0.33,13049.83282,4,1
6.4,0.18,0.35,1,0.045,39,108,0.9911,3.31,0.35,10.9,46.9,0.35,7518.216925,4,1
6.8,0.2,0.59,0.9,0.147,38,132,0.993,3.05,0.38,9.1,49.5,0.59,9998.781869,4,1
6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,48.7,0.35,8869.792669,4,1
7.2,0.21,0.34,11.9,0.043,37,213,0.9962,3.09,0.5,9.6,49.1,0.34,8038.944546,4,1
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,47,0.26,2463.297625,4,1
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,48.9,0.15,12045.15999,4,1
7.4,0.2,0.36,1.2,0.038,44,111,0.9926,3.36,0.34,9.9,46.4,0.36,13958.09798,4,1
6.8,0.22,0.24,4.9,0.092,30,123,0.9951,3.03,0.46,8.6,49.7,0.24,8758.489436,4,1
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,47,0.26,2946.909245,4,1
7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,49.8,0.07,14585.36691,4,0
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,48.9,0.15,312.2588987,4,1
7.2,0.24,0.27,1.4,0.038,31,122,0.9927,3.15,0.46,10.3,48.5,0.27,1399.075831,4,1
6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1,47.8,0.03,6326.799701,4,0
6.4,0.26,0.24,6.4,0.04,27,124,0.9903,3.22,0.49,12.6,47.8,0.24,485.3727718,4,1
6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8,48.6,0.13,4921.599047,4,0
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,46.7,0.31,2429.067188,4,1
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,48.7,0.29,148.7797573,4,0
6.2,0.27,0.43,7.8,0.056,48,244,0.9956,3.1,0.51,9,49,0.43,5722.193595,4,1
6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,46.8,0.23,12709.49602,4,0
6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,43.1,0.28,7775.868214,4,0
8.6,0.23,0.46,1,0.054,9,72,0.9941,2.95,0.49,9.1,50.5,0.46,1836.27413,4,1
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,46.7,0.31,6097.805926,4,1
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,48.7,0.29,5688.146722,4,0
7.1,0.18,0.36,1.4,0.043,31,87,0.9898,3.26,0.37,12.7,47.4,0.36,9338.366888,4,1
7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,46.9,0.34,912.5566012,4,1
7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3,50.6,0.3,3564.421873,4,0
6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,47.3,0.28,1371.408204,4,0
6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,46.1,0.31,4268.61507,4,1
7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,47.9,0.34,11238.43446,4,1
7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,48.3,0.2,8710.033169,4,0
7.3,0.22,0.3,8.2,0.047,42,207,0.9966,3.33,0.46,9.5,46.7,0.3,3316.653322,4,1
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,48.9,0.61,8080.939467,4,0
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,48.8,0.62,3360.43671,4,1
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,49.1,0.63,2745.142674,4,1
6.8,0.25,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,47.8,0.31,12325.76295,4,1
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,48.9,0.61,9360.55372,4,0
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,48.8,0.62,4520.627241,4,1
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,49.1,0.63,2717.3357,4,1
6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,48.8,0.43,9838.307441,4,0
6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,47.4,0.33,6651.347592,4,1
6.9,0.21,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6,47.5,0.33,11178.96359,4,1
7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,47.9,0.32,2659.835426,4,1
7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,49.6,0.29,10396.6443,4,1
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,48.6,0.66,12003.90476,4,1
8.6,0.265,0.36,1.2,0.034,15,80,0.9913,2.95,0.36,11.4,50.5,0.36,1042.677547,4,1
9.8,0.36,0.46,10.5,0.038,4,83,0.9956,2.89,0.3,10.1,51.1,0.46,5953.433664,4,0
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,48.6,0.66,2753.092273,4,1
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,50,0.37,659.9136658,4,0
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,46,0.32,8584.459561,4,0
6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,46.6,0.24,10348.17628,4,0
7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,50.1,0.4,14223.52445,4,0
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,50,0.37,7438.005459,4,0
7.3,0.13,0.32,14.4,0.051,34,109,0.9974,3.2,0.35,9.2,48,0.32,4862.279354,4,1
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,46,0.32,6851.925402,4,0
7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,48.4,0.35,5269.64678,4,1
7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,48.4,0.35,2568.668457,4,1
6.9,0.33,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3,47.3,0.28,9128.488056,4,0
6.5,0.17,0.54,8.5,0.082,64,163,0.9959,2.89,0.39,8.8,51.1,0.54,12047.41567,4,1
7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,49.6,0.46,6013.911962,4,0
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,49.9,0.5,13002.25594,4,0
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,47.8,0.34,11234.39416,4,0
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,47.8,0.34,5347.658273,4,0
5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,43.7,0,8456.446897,4,0
6,0.31,0.24,3.3,0.041,25,143,0.9914,3.31,0.44,11.3,46.9,0.24,9584.223178,4,1
7,0.14,0.4,1.7,0.035,16,85,0.9911,3.19,0.42,11.8,48.1,0.4,5198.809979,4,1
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,49.9,0.5,3241.546367,4,0
7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,49.6,0.48,2572.553293,4,0
5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2,47.8,0.04,955.5943385,4,0
7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8,49.9,0.32,10515.13225,4,0
7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,47.1,0.31,6717.247321,4,0
6.9,0.19,0.28,5,0.058,14,146,0.9952,3.29,0.36,9.1,47.1,0.28,11222.26794,4,1
6.4,0.13,0.47,1.6,0.092,40,158,0.9928,3.21,0.36,9.8,47.9,0.47,6594.278931,4,1
6.7,0.19,0.36,1.1,0.026,63,143,0.9912,3.27,0.48,11,47.3,0.36,8821.303785,4,1
7.4,0.39,0.23,7,0.033,29,126,0.994,3.14,0.42,10.5,48.6,0.23,5780.475583,4,0
6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,45.5,0.32,2900.151797,4,1
6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,47,0.56,4064.22291,4,1
6.1,0.3,0.56,2.7,0.046,46,184,0.9924,3.31,0.57,10.9,46.9,0.56,9450.581378,4,1
5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,46.1,0.25,11307.9583,4,0
6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,45.5,0.32,7793.903472,4,1
6.5,0.425,0.4,13.1,0.038,59,241,0.9979,3.23,0.57,9,47.7,0.4,14284.49823,4,0
6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,47.6,0.27,3118.320122,4,0
6.8,0.27,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9,48.1,0.22,4393.426719,4,0
6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,47.4,0.31,11404.57583,4,0
8.2,0.23,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7,48.8,0.4,8469.302189,4,1
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,48.4,0.67,3581.052579,4,0
6.8,0.19,0.36,1.9,0.035,30,96,0.9917,3.15,0.54,10.8,48.5,0.36,1854.179744,4,1
8.1,0.28,0.39,1.9,0.029,18,79,0.9923,3.23,0.52,11.8,47.7,0.39,11109.10351,4,1
6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2,47,0.34,1322.451544,4,0
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,48.4,0.67,2528.937888,4,0
7.9,0.21,0.4,1.2,0.039,38,107,0.992,3.21,0.54,10.8,47.9,0.4,8670.783703,4,1
8.5,0.21,0.41,4.3,0.036,24,99,0.9947,3.18,0.53,9.7,48.2,0.41,9517.522344,4,1
8.1,0.2,0.4,2,0.037,19,87,0.9921,3.12,0.54,11.2,48.8,0.4,2096.331128,4,1
6.3,0.255,0.37,1.1,0.04,37,114,0.9905,3,0.39,10.9,50,0.37,3241.213365,4,1
5.6,0.16,0.27,1.4,0.044,53,168,0.9918,3.28,0.37,10.1,47.2,0.27,8830.695716,4,1
6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,46.2,0.14,9292.705833,4,0
6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,46.2,0.33,8245.361583,4,1
6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,50.1,0.3,3646.58975,4,1
7.9,0.22,0.38,8,0.043,46,152,0.9934,3.12,0.32,11.5,48.8,0.38,338.5993575,4,1
7.6,0.18,0.46,10.2,0.055,58,135,0.9968,3.14,0.43,9.9,48.6,0.46,7259.605553,4,1
6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,50.1,0.3,10617.93444,4,1
7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,48.6,0.41,9386.574821,4,0
8.2,0.23,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,49.4,0.4,8041.983904,4,1
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,51.1,0.42,11133.92654,4,1
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,51.1,0.42,9438.36208,4,1
6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,47.1,0.24,2279.529238,4,1
5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,46.4,0.04,9399.985389,4,1
5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,46.4,0.04,10046.84133,4,1
6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,47.1,0.24,1731.773565,4,1
6.4,0.22,0.56,14.5,0.055,27,159,0.998,2.98,0.4,9.1,50.2,0.56,4226.802277,4,0
6.3,0.36,0.3,4.8,0.049,14,85,0.9932,3.28,0.39,10.6,47.2,0.3,8396.754352,4,0
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,51.1,0.42,10232.7775,4,1
6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,48.5,0.35,3339.991384,4,0
7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8,48.4,0.36,1089.603546,4,0
8.4,0.27,0.46,8.7,0.048,39,197,0.9974,3.14,0.59,9.6,48.6,0.46,11467.60639,4,1
6.7,0.46,0.18,2.4,0.034,25,98,0.9896,3.08,0.44,12.6,49.2,0.18,9781.492508,4,1
7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,49.2,0.31,7265.301348,4,0
9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,51.3,0.48,10396.32109,4,0
7.1,0.3,0.46,1.5,0.066,29,133,0.9906,3.12,0.54,12.7,48.8,0.46,1566.949964,4,1
7.9,0.19,0.45,1.5,0.045,17,96,0.9917,3.13,0.39,11,48.7,0.45,1233.582217,4,1
7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4,49.7,0.37,14761.63745,4,0
6.3,0.22,0.43,4.55,0.038,31,130,0.9918,3.35,0.33,11.5,46.5,0.43,10914.80471,4,1
7.5,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2,49.1,0.31,2361.489096,4,0
6.9,0.23,0.4,7.5,0.04,50,151,0.9927,3.11,0.27,11.4,48.9,0.4,8020.245776,4,1
7.2,0.32,0.47,5.1,0.044,19,65,0.991,3.03,0.41,12.6,49.7,0.47,6369.077977,4,0
5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,47.2,0.3,6142.679265,4,0
6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7,48.9,0.07,3980.422946,4,0
6.4,0.25,0.32,5.5,0.049,41,176,0.995,3.19,0.68,9.2,48.1,0.32,5313.558879,4,1
6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,48.1,0.31,11957.65567,4,1
7.1,0.34,0.15,1.2,0.053,61,183,0.9936,3.09,0.43,9.2,49.1,0.15,7631.066539,4,0
6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,50.7,0.4,9796.374776,4,0
6.9,0.27,0.4,14,0.05,64,227,0.9979,3.18,0.58,9.6,48.2,0.4,7762.692088,4,1
6.8,0.26,0.56,11.9,0.043,64,226,0.997,3.02,0.63,9.3,49.8,0.56,1810.368426,4,0
6.8,0.29,0.56,11.9,0.043,66,230,0.9972,3.02,0.63,9.3,49.8,0.56,12763.14399,4,0
6.7,0.24,0.41,9.4,0.04,49,166,0.9954,3.12,0.61,9.9,48.8,0.41,5346.513285,4,1
5.9,0.3,0.23,4.2,0.038,42,119,0.9924,3.15,0.5,11,48.5,0.23,5844.435036,4,0
6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,47.4,0.35,14832.87432,4,1
6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9,49.1,0.28,5158.774028,4,0
6.6,0.28,0.28,8.5,0.052,55,211,0.9962,3.09,0.55,8.9,49.1,0.28,732.8251935,4,1
6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,50.7,0.4,4153.07011,4,0
6.8,0.28,0.36,8,0.045,28,123,0.9928,3.02,0.37,11.4,49.8,0.36,5128.73956,4,1
6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,46.4,0.34,14269.99453,4,0
6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,49.8,0.44,1663.741096,4,0
6.4,0.3,0.45,3.5,0.197,76,180,0.9942,3.02,0.39,9.1,49.8,0.45,13895.06786,4,1
6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,49.9,0.44,14424.21268,4,0
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,48.7,0.24,3969.459045,4,0
7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,49,0.24,6716.307001,4,0
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,48.7,0.24,8138.254566,4,0
6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3,48.5,0.26,10165.37493,4,0
7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,49,0.24,3014.983718,4,0
6.9,0.54,0.32,13.2,0.05,53,236,0.9973,3.2,0.5,9.6,48,0.32,9408.836155,4,0
6.8,0.26,0.34,13.9,0.034,39,134,0.9949,3.33,0.53,12,46.7,0.34,6993.036879,4,1
5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,47.2,0.35,2543.123645,4,0
6.4,0.21,0.5,11.6,0.042,45,153,0.9972,3.15,0.43,8.8,48.5,0.5,13198.14395,4,0
7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,47.9,0.32,13278.47051,4,0
10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,50.1,0.88,5874.944267,4,0
6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,46.8,0.29,8227.826047,4,0
6.1,0.4,0.31,0.9,0.048,23,170,0.993,3.22,0.77,9.5,47.8,0.31,13753.43589,4,1
5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,46.9,0.25,6356.320131,4,0
6.8,0.18,0.38,1.4,0.038,35,111,0.9918,3.32,0.59,11.2,46.8,0.38,13313.17577,4,1
7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,47.9,0.32,9215.583,4,0
6.7,0.13,0.29,5.3,0.051,31,122,0.9944,3.44,0.37,9.7,45.6,0.29,3216.809717,4,1
6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,47,0.25,3224.841521,4,1
5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,46.9,0.24,429.0308432,4,0
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,49.7,0.36,11901.92179,4,0
5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,46.9,0.24,12378.44764,4,0
5.7,0.28,0.24,17.5,0.044,60,167,0.9989,3.31,0.44,9.4,46.9,0.24,3227.862252,4,0
7.5,0.23,0.36,7,0.036,43,161,0.9938,3.04,0.32,11,49.6,0.36,2211.015266,4,0
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,49.7,0.36,4306.346402,4,0
7.2,0.685,0.21,9.5,0.07,33,172,0.9971,3,0.55,9.1,50,0.21,9274.450406,4,1
6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,47,0.25,7383.144737,4,1
6.5,0.19,0.3,0.8,0.043,33,144,0.9936,3.42,0.39,9.1,45.8,0.3,1060.108915,4,1
6.3,0.495,0.22,1.8,0.046,31,140,0.9929,3.39,0.54,10.4,46.1,0.22,13272.54842,4,1
7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,46.8,0.41,4305.665944,4,0
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,45,0.32,4120.628293,4,1
7.1,0.25,0.32,10.3,0.041,66,272,0.9969,3.17,0.52,9.1,48.3,0.32,10769.10331,4,1
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,45,0.32,3464.186908,4,1
7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,46.8,0.41,10559.18745,4,0
6.8,0.64,0.08,9.7,0.062,26,142,0.9972,3.37,0.46,8.9,46.3,0.08,5136.481357,4,0
8.3,0.28,0.4,7.8,0.041,38,194,0.9976,3.34,0.51,9.6,46.6,0.4,9134.098317,4,1
8.2,0.27,0.39,7.8,0.039,49,208,0.9976,3.31,0.51,9.5,46.9,0.39,1065.027818,4,1
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,49.1,0.38,11239.10556,4,1
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,49.1,0.38,7413.836577,4,1
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,49.1,0.38,9774.175307,4,1
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,49.1,0.38,2274.83748,4,1
6.8,0.52,0.32,13.2,0.044,54,221,0.9972,3.27,0.5,9.6,47.3,0.32,7787.910005,4,1
